"author","authorIsChannelOwner","cid","comment","commentsCount","hasCreatorHeart","pageUrl","publishedTimeText","replyCount","replyToCid","title","type","videoId","voteCount"
"@swarangsingha4518","false","UgwRwW1EtfAsXisWDst4AaABAg","Assamese warrior is portrayed atleast you could have given a bit of Bir Lachit Borphukan holding dauli like Cameo. Giving respect to our culture..jai aai axom..","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","22 hours ago (edited)","1",,"SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","comment","rA_GLld3Dwc","0"
"@user-nj8kq2dk6p","false","UgwgTbFt3hJBN2uvoRd4AaABAg.A8Wg5UIxf1iA8WzWn-rEJ4","Ftuwa bollywood kot Bagan aase 😅😅😅😅","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","7 hours ago","0","UgwgTbFt3hJBN2uvoRd4AaABAg","SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","reply","rA_GLld3Dwc","0"
"@user-nj8kq2dk6p","false","UgwF-U2GAA9Mrf-jIfp4AaABAg.A8W0DiHKsTqA8WzdRGHXdc","Calories copy aamar bagan ariat nahorfutukia bagh ulai thake","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","7 hours ago","0","UgwF-U2GAA9Mrf-jIfp4AaABAg","SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","reply","rA_GLld3Dwc","0"
"@bimankalita7884","false","UgwRwW1EtfAsXisWDst4AaABAg.A8VMhPtRpZ1A8Vcf061OAq","Why","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","19 hours ago","0","UgwRwW1EtfAsXisWDst4AaABAg","SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","reply","rA_GLld3Dwc","0"
"@HackerBroMohan","false","UgyKHTeJZMupssAA6zZ4AaABAg","🔥🔥🔥Nice","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0",,"SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","comment","rA_GLld3Dwc","0"
"@pranamikaborah5438","false","UgxfJSTPj7Yl8JpFjNJ4AaABAg","❤❤","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0",,"SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","comment","rA_GLld3Dwc","0"
"@fanofzg","false","UgyQjy0YZJ5KqyY13kN4AaABAg","Congratulations trailer 1.1milion views❤ waiting for 20 September ❤️ ZG","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0",,"SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","comment","rA_GLld3Dwc","1"
"@uttamhemrom49","false","Ugys1IUkliajXjQCU9l4AaABAg","Mojja","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0",,"SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","comment","rA_GLld3Dwc","0"
"@surajhazarika3355","false","Ugy4CUw6rt9snqeAhtl4AaABAg","London,t shooting","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0",,"SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","comment","rA_GLld3Dwc","0"
"@moromims5703","false","UgwzR5G6OBLxidHgKOR4AaABAg","Mojja ❤😊 specially Zubeen da with long hair ❤😊","2174","false","https://youtu.be/rA_GLld3Dwc?si=F_SKydVKevfbHABY","1 day ago","0",,"SIKAAR Official Trailer | Zubeen Garg, Adil Hussain, Dhyani Mohan, Urmila Mahanta, Siddhartha Sharma","comment","rA_GLld3Dwc","0"
